Number Time x_pos y_pos
93198.0 5142.6 0.05 -0.15
93198.0 5144.1 0.05 -0.15
133518.0 5144.4 -0.15 -0.15
93198.0 5146.3 0.05 -0.15
44686.0 5146.5 0.15 0.05
133518.0 5147.1 -0.15 -0.15
44686.0 5148.6 0.15 0.05
85006.0 5148.3 -0.05 0.05
93198.0 5148.7 0.05 -0.15
133518.0 5149.9 -0.15 -0.15
44686.0 5150.7 0.15 0.05
85006.0 5151.2 -0.05 0.05
44686.0 5153.0 0.15 0.05
85006.0 5153.8 -0.05 0.05
85006.0 5158.2 -0.05 0.05
36497.0 5144.3 0.05 -0.05
36497.0 5146.3 0.05 -0.05
76817.0 5146.4 -0.15 -0.05
36497.0 5148.5 0.05 -0.05
76817.0 5149.6 -0.15 -0.05
28305.0 5150.3 -0.05 0.15
36497.0 5151.0 0.05 -0.05
76817.0 5152.2 -0.15 -0.05
28305.0 5153.0 -0.05 0.15
28305.0 5155.6 -0.05 0.15
28305.0 5158.0 -0.05 0.15
52697.0 5144.5 0.05 -0.05
93017.0 5145.8 -0.15 -0.05
52697.0 5146.5 0.05 -0.05
4185.0 5148.6 0.15 0.15
52697.0 5148.6 0.05 -0.05
44505.0 5149.5 -0.05 0.15
93017.0 5148.9 -0.15 -0.05
4185.0 5150.8 0.15 0.15
52697.0 5151.0 0.05 -0.05
44505.0 5151.6 -0.05 0.15
93017.0 5152.3 -0.15 -0.05
4185.0 5152.9 0.15 0.15
44505.0 5153.8 -0.05 0.15
4185.0 5155.2 0.15 0.15
44505.0 5156.1 -0.05 0.15
4185.0 5158.8 0.15 0.15
44505.0 5158.8 -0.05 0.15
109397.0 5143.9 0.05 -0.05
149717.0 5146.4 -0.15 -0.05
109397.0 5146.5 0.05 -0.05
109397.0 5148.6 0.05 -0.05
60885.0 5148.9 0.15 0.15
149717.0 5149.3 -0.15 -0.05
101205.0 5149.7 -0.05 0.15
60885.0 5150.9 0.15 0.15
109397.0 5151.0 0.05 -0.05
101205.0 5151.5 -0.05 0.15
149717.0 5152.1 -0.15 -0.05
60885.0 5153.0 0.15 0.15
101205.0 5154.0 -0.05 0.15
60885.0 5155.2 0.15 0.15
