Number Time x_pos y_pos
93198.0 8641.0 0.05 -0.15
133518.0 8641.2 -0.15 -0.15
93198.0 8643.1 0.05 -0.15
133518.0 8643.1 -0.15 -0.15
85006.0 8644.4 -0.05 0.05
44686.0 8645.0 0.15 0.05
93198.0 8645.1 0.05 -0.15
133518.0 8645.0 -0.15 -0.15
85006.0 8646.1 -0.05 0.05
93198.0 8647.2 0.05 -0.15
133518.0 8647.1 -0.15 -0.15
44686.0 8647.5 0.15 0.05
85006.0 8647.4 -0.05 0.05
44686.0 8649.5 0.15 0.05
85006.0 8649.3 -0.05 0.05
133518.0 8649.3 -0.15 -0.15
93198.0 8649.7 0.05 -0.15
44686.0 8651.7 0.15 0.05
85006.0 8651.3 -0.05 0.05
133518.0 8653.1 -0.15 -0.15
85006.0 8653.7 -0.05 0.05
44686.0 8655.1 0.15 0.05
36497.0 8642.9 0.05 -0.05
76817.0 8642.7 -0.15 -0.05
36497.0 8645.1 0.05 -0.05
76817.0 8645.1 -0.15 -0.05
28305.0 8646.7 -0.05 0.15
36497.0 8647.1 0.05 -0.05
76817.0 8647.1 -0.15 -0.05
28305.0 8649.1 -0.05 0.15
36497.0 8649.2 0.05 -0.05
76817.0 8649.1 -0.15 -0.05
28305.0 8651.3 -0.05 0.15
36497.0 8651.5 0.05 -0.05
76817.0 8651.4 -0.15 -0.05
28305.0 8653.4 -0.05 0.15
76817.0 8654.9 -0.15 -0.05
28305.0 8655.9 -0.05 0.15
52697.0 8642.9 0.05 -0.05
93017.0 8642.7 -0.15 -0.05
52697.0 8645.2 0.05 -0.05
93017.0 8645.1 -0.15 -0.05
44505.0 8646.2 -0.05 0.15
4185.0 8646.7 0.15 0.15
52697.0 8647.2 0.05 -0.05
93017.0 8647.1 -0.15 -0.05
44505.0 8648.0 -0.05 0.15
4185.0 8648.7 0.15 0.15
44505.0 8649.5 -0.05 0.15
52697.0 8649.3 0.05 -0.05
93017.0 8649.1 -0.15 -0.05
4185.0 8650.1 0.15 0.15
4185.0 8651.8 0.15 0.15
44505.0 8651.4 -0.05 0.15
52697.0 8651.6 0.05 -0.05
93017.0 8651.3 -0.15 -0.05
44505.0 8653.5 -0.05 0.15
4185.0 8654.2 0.15 0.15
93017.0 8654.3 -0.15 -0.05
44505.0 8656.3 -0.05 0.15
109397.0 8642.6 0.05 -0.05
149717.0 8642.8 -0.15 -0.05
109397.0 8645.2 0.05 -0.05
149717.0 8645.2 -0.15 -0.05
101205.0 8646.0 -0.05 0.15
60885.0 8647.1 0.15 0.15
109397.0 8647.2 0.05 -0.05
149717.0 8647.1 -0.15 -0.05
101205.0 8647.8 -0.05 0.15
101205.0 8649.6 -0.05 0.15
109397.0 8649.3 0.05 -0.05
149717.0 8649.1 -0.15 -0.05
60885.0 8649.8 0.15 0.15
60885.0 8651.7 0.15 0.15
101205.0 8651.4 -0.05 0.15
109397.0 8651.7 0.05 -0.05
149717.0 8651.4 -0.15 -0.05
101205.0 8653.4 -0.05 0.15
60885.0 8654.0 0.15 0.15
101205.0 8656.5 -0.05 0.15
60885.0 8657.9 0.15 0.15
125597.0 8642.6 0.05 -0.05
125597.0 8645.2 0.05 -0.05
77085.0 8646.7 0.15 0.15
117405.0 8647.1 -0.05 0.15
125597.0 8647.3 0.05 -0.05
77085.0 8648.8 0.15 0.15
117405.0 8649.4 -0.05 0.15
125597.0 8649.3 0.05 -0.05
77085.0 8650.1 0.15 0.15
77085.0 8651.7 0.15 0.15
117405.0 8651.3 -0.05 0.15
125597.0 8651.7 0.05 -0.05
117405.0 8653.4 -0.05 0.15
77085.0 8654.0 0.15 0.15
117405.0 8655.7 -0.05 0.15
158085.0 8647.1 0.15 0.15
158085.0 8649.5 0.15 0.15
158085.0 8651.6 0.15 0.15
158085.0 8653.8 0.15 0.15
158085.0 8656.7 0.15 0.15
158088.0 8641.1 0.15 -0.15
158088.0 8643.4 0.15 -0.15
149896.0 8644.7 0.05 0.05
158088.0 8645.3 0.15 -0.15
149896.0 8647.6 0.05 0.05
158088.0 8647.5 0.15 -0.15
149896.0 8649.5 0.05 0.05
158088.0 8650.0 0.15 -0.15
149896.0 8651.6 0.05 0.05
149896.0 8654.4 0.05 0.05
109488.0 8640.3 0.15 -0.15
149808.0 8640.6 -0.05 -0.15
109488.0 8642.8 0.15 -0.15
149808.0 8643.0 -0.05 -0.15
101296.0 8644.2 0.05 0.05
109488.0 8645.3 0.15 -0.15
141616.0 8645.5 -0.15 0.05
149808.0 8645.0 -0.05 -0.15
101296.0 8645.9 0.05 0.05
149808.0 8647.1 -0.05 -0.15
101296.0 8647.5 0.05 0.05
109488.0 8647.6 0.15 -0.15
141616.0 8647.4 -0.15 0.05
101296.0 8649.4 0.05 0.05
141616.0 8649.2 -0.15 0.05
149808.0 8649.4 -0.05 -0.15
109488.0 8650.4 0.15 -0.15
101296.0 8651.5 0.05 0.05
141616.0 8651.3 -0.15 0.05
141616.0 8653.4 -0.15 0.05
101296.0 8654.3 0.05 0.05
133698.0 8640.2 0.05 -0.15
133698.0 8642.1 0.05 -0.15
133698.0 8643.1 0.05 -0.15
125506.0 8644.2 -0.05 0.05
85186.0 8645.3 0.15 0.05
133698.0 8645.2 0.05 -0.15
125506.0 8645.9 -0.05 0.05
85186.0 8647.5 0.15 0.05
125506.0 8647.4 -0.05 0.05
133698.0 8647.4 0.05 -0.15
85186.0 8649.6 0.15 0.05
125506.0 8649.3 -0.05 0.05
133698.0 8650.2 0.05 -0.15
85186.0 8651.6 0.15 0.05
125506.0 8651.4 -0.05 0.05
85186.0 8654.4 0.15 0.05
125506.0 8653.7 -0.05 0.05
20207.0 8643.2 -0.05 -0.05
20207.0 8645.2 -0.05 -0.05
12015.0 8647.1 -0.15 0.15
20207.0 8647.1 -0.05 -0.05
12015.0 8649.4 -0.15 0.15
20207.0 8649.2 -0.05 -0.05
12015.0 8651.3 -0.15 0.15
20207.0 8651.4 -0.05 -0.05
12015.0 8653.3 -0.15 0.15
12015.0 8655.6 -0.15 0.15
36318.0 8640.9 -0.15 -0.15
36318.0 8643.1 -0.15 -0.15
36318.0 8645.0 -0.15 -0.15
36318.0 8647.1 -0.15 -0.15
36318.0 8649.3 -0.15 -0.15
36318.0 8654.3 -0.15 -0.15
85098.0 8641.1 0.05 -0.15
125418.0 8641.2 -0.15 -0.15
85098.0 8643.2 0.05 -0.15
125418.0 8643.2 -0.15 -0.15
76906.0 8644.5 -0.05 0.05
36586.0 8644.9 0.15 0.05
85098.0 8645.0 0.05 -0.15
125418.0 8645.1 -0.15 -0.15
76906.0 8646.4 -0.05 0.05
85098.0 8647.2 0.05 -0.15
125418.0 8647.2 -0.15 -0.15
36586.0 8647.5 0.15 0.05
76906.0 8647.3 -0.05 0.05
36586.0 8649.5 0.15 0.05
76906.0 8649.3 -0.05 0.05
85098.0 8649.5 0.05 -0.15
125418.0 8649.4 -0.15 -0.15
36586.0 8651.7 0.15 0.05
76906.0 8651.3 -0.05 0.05
76906.0 8653.7 -0.05 0.05
36586.0 8654.6 0.15 0.05
4188.0 8640.4 0.15 -0.15
44508.0 8640.7 -0.05 -0.15
4188.0 8642.9 0.15 -0.15
44508.0 8643.0 -0.05 -0.15
36316.0 8644.7 -0.15 0.05
4188.0 8645.3 0.15 -0.15
44508.0 8645.0 -0.05 -0.15
44508.0 8647.1 -0.05 -0.15
4188.0 8647.4 0.15 -0.15
36316.0 8647.3 -0.15 0.05
36316.0 8649.2 -0.15 0.05
44508.0 8649.4 -0.05 -0.15
4188.0 8650.0 0.15 -0.15
36316.0 8651.2 -0.15 0.05
36316.0 8653.4 -0.15 0.05
36316.0 8656.2 -0.15 0.05
68807.0 8642.7 -0.05 -0.05
28487.0 8643.3 0.15 -0.05
28487.0 8645.6 0.15 -0.05
68807.0 8645.1 -0.05 -0.05
20295.0 8646.8 0.05 0.15
68807.0 8647.1 -0.05 -0.05
28487.0 8647.5 0.15 -0.05
60615.0 8647.3 -0.15 0.15
20295.0 8649.4 0.05 0.15
60615.0 8649.5 -0.15 0.15
68807.0 8649.2 -0.05 -0.05
28487.0 8649.7 0.15 -0.05
20295.0 8651.4 0.05 0.15
60615.0 8651.3 -0.15 0.15
68807.0 8651.5 -0.05 -0.05
28487.0 8652.5 0.15 -0.05
20295.0 8653.6 0.05 0.15
60615.0 8653.3 -0.15 0.15
60615.0 8655.6 -0.15 0.15
20295.0 8656.3 0.05 0.15
125685.0 8646.7 0.15 0.15
125685.0 8648.9 0.15 0.15
125685.0 8650.5 0.15 0.15
125685.0 8651.7 0.15 0.15
125685.0 8654.1 0.15 0.15
76997.0 8643.0 0.05 -0.05
117317.0 8642.8 -0.15 -0.05
76997.0 8645.3 0.05 -0.05
117317.0 8645.2 -0.15 -0.05
28485.0 8647.0 0.15 0.15
68805.0 8646.5 -0.05 0.15
76997.0 8647.2 0.05 -0.05
117317.0 8647.1 -0.15 -0.05
68805.0 8648.4 -0.05 0.15
28485.0 8649.5 0.15 0.15
68805.0 8649.6 -0.05 0.15
76997.0 8649.3 0.05 -0.05
117317.0 8649.2 -0.15 -0.05
28485.0 8651.6 0.15 0.15
68805.0 8651.4 -0.05 0.15
76997.0 8651.8 0.05 -0.05
117317.0 8651.4 -0.15 -0.05
68805.0 8653.4 -0.05 0.15
28485.0 8653.9 0.15 0.15
117317.0 8654.3 -0.15 -0.05
68805.0 8656.0 -0.05 0.15
28485.0 8657.1 0.15 0.15
149986.0 8644.6 0.15 0.05
149986.0 8647.0 0.15 0.05
149986.0 8649.4 0.15 0.05
149986.0 8651.6 0.15 0.05
149986.0 8654.2 0.15 0.05
141885.0 8646.7 0.15 0.15
141885.0 8648.9 0.15 0.15
141885.0 8650.5 0.15 0.15
141885.0 8651.7 0.15 0.15
141885.0 8654.0 0.15 0.15
125687.0 8642.6 0.15 -0.05
125687.0 8645.1 0.15 -0.05
117495.0 8647.1 0.05 0.15
157815.0 8646.9 -0.15 0.15
125687.0 8647.4 0.15 -0.05
117495.0 8649.5 0.05 0.15
125687.0 8649.6 0.15 -0.05
157815.0 8649.3 -0.15 0.15
117495.0 8651.5 0.05 0.15
157815.0 8651.3 -0.15 0.15
125687.0 8652.3 0.15 -0.05
117495.0 8653.6 0.05 0.15
157815.0 8653.3 -0.15 0.15
157815.0 8655.6 -0.15 0.15
117495.0 8656.9 0.05 0.15
52787.0 8643.2 0.15 -0.05
93107.0 8643.1 -0.05 -0.05
52787.0 8645.6 0.15 -0.05
93107.0 8645.2 -0.05 -0.05
44595.0 8646.6 0.05 0.15
84915.0 8646.9 -0.15 0.15
93107.0 8647.1 -0.05 -0.05
52787.0 8647.5 0.15 -0.05
44595.0 8648.4 0.05 0.15
52787.0 8649.6 0.15 -0.05
84915.0 8649.2 -0.15 0.15
93107.0 8649.2 -0.05 -0.05
44595.0 8649.7 0.05 0.15
84915.0 8651.2 -0.15 0.15
44595.0 8651.6 0.05 0.15
93107.0 8651.5 -0.05 -0.05
52787.0 8652.1 0.15 -0.05
84915.0 8653.2 -0.15 0.15
44595.0 8653.7 0.05 0.15
84915.0 8655.4 -0.15 0.15
44595.0 8657.3 0.05 0.15
84915.0 8660.0 -0.15 0.15
20297.0 8642.9 0.05 -0.05
60617.0 8643.4 -0.15 -0.05
20297.0 8645.2 0.05 -0.05
60617.0 8645.2 -0.15 -0.05
12105.0 8646.6 -0.05 0.15
20297.0 8647.2 0.05 -0.05
60617.0 8647.2 -0.15 -0.05
12105.0 8648.1 -0.05 0.15
12105.0 8649.6 -0.05 0.15
20297.0 8649.3 0.05 -0.05
60617.0 8649.2 -0.15 -0.05
12105.0 8651.4 -0.05 0.15
20297.0 8651.7 0.05 -0.05
60617.0 8651.4 -0.15 -0.05
12105.0 8653.5 -0.05 0.15
60617.0 8654.2 -0.15 -0.05
12105.0 8656.1 -0.05 0.15
3917.0 8642.5 -0.15 -0.05
3917.0 8644.5 -0.15 -0.05
3917.0 8645.4 -0.15 -0.05
3917.0 8647.2 -0.15 -0.05
3917.0 8649.2 -0.15 -0.05
3917.0 8651.4 -0.15 -0.05
20298.0 8640.8 0.05 -0.15
60618.0 8640.8 -0.15 -0.15
20298.0 8643.1 0.05 -0.15
60618.0 8643.0 -0.15 -0.15
12106.0 8644.9 -0.05 0.05
20298.0 8645.0 0.05 -0.15
60618.0 8644.9 -0.15 -0.15
20298.0 8647.2 0.05 -0.15
60618.0 8647.0 -0.15 -0.15
12106.0 8647.3 -0.05 0.05
12106.0 8649.2 -0.05 0.05
20298.0 8649.5 0.05 -0.15
60618.0 8649.2 -0.15 -0.15
12106.0 8651.2 -0.05 0.05
60618.0 8652.0 -0.15 -0.15
12106.0 8653.5 -0.05 0.05
85187.0 8643.2 0.15 -0.05
125507.0 8643.2 -0.05 -0.05
85187.0 8645.5 0.15 -0.05
125507.0 8645.2 -0.05 -0.05
76995.0 8646.4 0.05 0.15
117315.0 8647.1 -0.15 0.15
125507.0 8647.1 -0.05 -0.05
85187.0 8647.5 0.15 -0.05
76995.0 8648.6 0.05 0.15
85187.0 8649.5 0.15 -0.05
117315.0 8649.4 -0.15 0.15
125507.0 8649.2 -0.05 -0.05
76995.0 8649.9 0.05 0.15
76995.0 8651.8 0.05 0.15
117315.0 8651.3 -0.15 0.15
125507.0 8651.5 -0.05 -0.05
85187.0 8652.1 0.15 -0.05
117315.0 8653.3 -0.15 0.15
76995.0 8654.0 0.05 0.15
117315.0 8655.6 -0.15 0.15
93288.0 8640.7 0.15 -0.15
133608.0 8640.8 -0.05 -0.15
93288.0 8643.2 0.15 -0.15
133608.0 8643.0 -0.05 -0.15
85096.0 8644.4 0.05 0.05
93288.0 8645.2 0.15 -0.15
125416.0 8645.1 -0.15 0.05
133608.0 8644.9 -0.05 -0.15
85096.0 8646.0 0.05 0.05
133608.0 8647.1 -0.05 -0.15
85096.0 8647.5 0.05 0.05
93288.0 8647.3 0.15 -0.15
125416.0 8647.3 -0.15 0.05
85096.0 8649.4 0.05 0.05
125416.0 8649.2 -0.15 0.05
133608.0 8649.3 -0.05 -0.15
93288.0 8649.8 0.15 -0.15
85096.0 8651.6 0.05 0.05
125416.0 8651.3 -0.15 0.05
133608.0 8652.6 -0.05 -0.15
125416.0 8653.4 -0.15 0.05
85096.0 8654.3 0.05 0.05
157996.0 8644.9 0.05 0.05
157996.0 8647.4 0.05 0.05
157996.0 8649.3 0.05 0.05
157996.0 8651.4 0.05 0.05
157996.0 8653.7 0.05 0.05
68808.0 8640.8 -0.05 -0.15
28488.0 8641.4 0.15 -0.15
68808.0 8643.1 -0.05 -0.15
28488.0 8643.5 0.15 -0.15
20296.0 8644.5 0.05 0.05
28488.0 8645.4 0.15 -0.15
60616.0 8645.1 -0.15 0.05
68808.0 8645.0 -0.05 -0.15
20296.0 8646.4 0.05 0.05
68808.0 8647.1 -0.05 -0.15
20296.0 8647.5 0.05 0.05
28488.0 8647.5 0.15 -0.15
60616.0 8647.4 -0.15 0.05
20296.0 8649.4 0.05 0.05
60616.0 8649.2 -0.15 0.05
68808.0 8649.3 -0.05 -0.15
28488.0 8649.9 0.15 -0.15
